duration_min,hour,trip_distance,naive_eta,abs_err
7.433333333333334,9,1.66,9.2,1.7666666666666657
58.85,15,19.04,45.483333333333334,13.366666666666667
79.38333333333334,6,11.5,33.63333333333333,45.75000000000001
8.55,20,2.35,15.15,6.6
28.216666666666665,11,6.99,23.241666666666667,4.974999999999998
14.166666666666666,2,1.88,8.766666666666667,5.399999999999999
10.533333333333333,14,1.26,10.6,0.06666666666666643
25.816666666666666,15,3.2,17.766666666666666,8.05
14.516666666666667,12,0.87,5.883333333333334,8.633333333333333
14.833333333333334,13,2.15,17.45,2.6166666666666654
25.3,16,4.6,17.575000000000003,7.724999999999998
8.533333333333333,7,1.56,7.758333333333333,0.7750000000000004
6.25,11,1.25,10.033333333333333,3.783333333333333
27.466666666666665,20,5.79,20.608333333333334,6.858333333333331
8.4,17,0.68,6.066666666666666,2.333333333333334
20.1,12,2.54,17.233333333333334,2.866666666666667
13.033333333333333,13,2.06,17.45,4.416666666666666
21.083333333333332,13,2.3,17.45,3.633333333333333
17.666666666666668,11,3.79,17.183333333333334,0.4833333333333343
14.983333333333333,15,2.39,17.766666666666666,2.783333333333333
10.866666666666667,15,2.22,17.766666666666666,6.899999999999999
45.68333333333333,17,16.63,41.55,4.133333333333333
22.616666666666667,19,3.95,15.791666666666668,6.824999999999999
4.616666666666666,19,0.59,5.583333333333333,0.9666666666666668
20.033333333333335,15,3.0,17.766666666666666,2.2666666666666693
15.3,16,1.88,10.383333333333333,4.916666666666668
17.966666666666665,12,4.5,17.233333333333334,0.7333333333333307
15.183333333333334,14,2.01,17.716666666666665,2.5333333333333314
15.8,13,3.32,17.45,1.6499999999999986
16.816666666666666,17,1.88,10.45,6.366666666666667
1.0,21,0.0,15.804166666666667,14.804166666666667
17.683333333333334,17,2.3,17.766666666666666,0.08333333333333215
3.6166666666666667,22,0.62,5.475,1.858333333333333
24.05,14,2.5,17.716666666666665,6.333333333333336
6.083333333333333,19,1.04,9.5,3.416666666666667
21.0,16,3.1,17.575000000000003,3.424999999999997
45.86666666666667,2,21.39,43.36666666666666,2.500000000000007
9.533333333333333,10,1.61,9.65,0.11666666666666714
24.7,1,3.19,16.441666666666666,8.258333333333333
16.95,9,3.3,15.816666666666666,1.1333333333333329
17.633333333333333,10,2.12,16.0,1.6333333333333329
5.533333333333333,23,1.05,8.083333333333334,2.5500000000000007
8.366666666666667,16,1.1,10.383333333333333,2.0166666666666657
23.35,0,6.34,22.633333333333333,0.7166666666666686
16.9,12,3.85,17.233333333333334,0.3333333333333357
7.333333333333333,12,1.2,10.183333333333334,2.8500000000000005
8.916666666666666,14,2.7,17.716666666666665,8.799999999999999
22.816666666666666,16,3.23,17.575000000000003,5.241666666666664
4.166666666666667,0,0.46,3.0166666666666666,1.1500000000000004
21.55,9,2.84,15.816666666666666,5.733333333333334
40.03333333333333,12,18.37,34.7,5.333333333333329
4.816666666666666,4,1.38,7.716666666666667,2.9000000000000004
16.133333333333333,18,3.51,17.416666666666668,1.283333333333335
4.116666666666666,16,0.94,6.233333333333333,2.116666666666667
16.433333333333334,1,4.93,16.441666666666666,0.00833333333333286
15.666666666666666,13,2.37,17.45,1.7833333333333332
12.433333333333334,10,0.9,5.583333333333333,6.8500000000000005
7.533333333333333,12,0.14,3.466666666666667,4.066666666666666
10.5,19,1.73,9.5,1.0
6.966666666666667,14,0.9,6.1,0.8666666666666671
30.683333333333334,0,5.32,22.633333333333333,8.05
29.933333333333334,0,4.26,16.283333333333335,13.649999999999999
13.933333333333334,17,2.33,17.766666666666666,3.833333333333332
11.483333333333333,10,1.97,9.65,1.8333333333333321
21.683333333333334,19,1.77,9.5,12.183333333333334
5.0,16,0.83,6.233333333333333,1.2333333333333334
11.783333333333333,11,2.02,17.183333333333334,5.4
8.083333333333334,20,1.28,9.033333333333333,0.9499999999999993
10.783333333333333,11,1.0,5.816666666666666,4.966666666666667
14.733333333333333,7,4.91,12.716666666666667,2.0166666666666657
5.666666666666667,18,0.68,6.233333333333333,0.5666666666666664
8.683333333333334,23,2.14,13.1,4.416666666666666
28.616666666666667,0,4.9,16.283333333333335,12.333333333333332
11.016666666666667,14,1.7,10.6,0.41666666666666785
34.06666666666667,19,16.49,34.93333333333334,0.8666666666666671
31.083333333333332,1,3.7,16.441666666666666,14.641666666666666
10.933333333333334,17,1.55,10.45,0.4833333333333343
5.75,14,0.78,6.1,0.34999999999999964
5.966666666666667,7,1.28,7.758333333333333,1.791666666666666
13.633333333333333,15,1.56,10.55,3.083333333333332
17.45,1,6.44,23.549999999999997,6.099999999999998
18.433333333333334,3,4.32,13.95,4.483333333333334
8.35,5,1.97,6.908333333333333,1.4416666666666664
2.783333333333333,3,0.56,4.941666666666666,2.158333333333333
14.166666666666666,11,2.0,10.033333333333333,4.133333333333333
5.85,8,1.72,8.425,2.575000000000001
15.25,1,1.76,9.233333333333333,6.0166666666666675
2.95,19,0.38,3.6,0.6499999999999999
33.75,18,16.1,38.141666666666666,4.391666666666666
26.45,12,20.1,46.28333333333333,19.833333333333332
34.95,14,9.55,25.691666666666666,9.258333333333336
13.916666666666666,20,3.2,15.15,1.2333333333333343
8.066666666666666,11,0.79,5.816666666666666,2.25
9.0,21,1.4,9.016666666666667,0.016666666666667496
8.25,14,1.27,10.6,2.3499999999999996
8.716666666666667,16,1.3,10.383333333333333,1.666666666666666
3.45,7,0.87,4.616666666666666,1.166666666666666
5.733333333333333,11,1.27,10.033333333333333,4.3
12.366666666666667,12,2.27,17.233333333333334,4.866666666666667
22.75,14,2.0,10.6,12.15
10.883333333333333,14,1.29,10.6,0.2833333333333332
9.883333333333333,19,0.7,5.583333333333333,4.3
12.25,13,1.62,10.2,2.0500000000000007
6.45,20,1.3,9.033333333333333,2.583333333333333
12.65,14,2.03,17.716666666666665,5.066666666666665
3.033333333333333,22,0.84,5.475,2.4416666666666664
63.96666666666667,16,9.88,24.733333333333334,39.233333333333334
31.833333333333332,0,0.0,15.804166666666667,16.029166666666665
8.783333333333333,7,1.29,7.758333333333333,1.0250000000000004
6.883333333333334,16,0.9,6.233333333333333,0.6500000000000004
26.733333333333334,11,18.21,33.86666666666667,7.133333333333333
22.966666666666665,15,2.4,17.766666666666666,5.199999999999999
33.63333333333333,13,18.57,38.650000000000006,5.016666666666673
7.266666666666667,10,1.5,9.65,2.3833333333333337
13.0,11,1.81,10.033333333333333,2.966666666666667
4.9,12,0.8,5.883333333333334,0.9833333333333334
8.8,14,1.64,10.6,1.799999999999999
10.3,12,1.0,5.883333333333334,4.416666666666667
20.316666666666666,12,3.3,17.233333333333334,3.083333333333332
6.3,14,1.1,10.6,4.3
6.0,14,1.4,10.6,4.6
8.35,22,1.43,8.766666666666667,0.41666666666666785
11.133333333333333,14,0.81,6.1,5.033333333333333
7.383333333333334,16,1.1,10.383333333333333,2.999999999999999
40.666666666666664,10,17.32,31.983333333333334,8.68333333333333
22.583333333333332,13,2.5,17.45,5.133333333333333
13.433333333333334,1,3.3,16.441666666666666,3.008333333333333
4.9,11,0.5,3.4166666666666665,1.4833333333333338
8.783333333333333,6,1.65,7.341666666666667,1.4416666666666664
6.933333333333334,13,1.96,10.2,3.2666666666666657
32.166666666666664,18,1.44,10.533333333333333,21.633333333333333
13.2,15,1.3,10.55,2.6499999999999986
10.483333333333333,14,0.47,3.3333333333333335,7.149999999999999
22.15,19,4.14,15.791666666666668,6.358333333333331
9.133333333333333,17,2.1,17.766666666666666,8.633333333333333
27.333333333333332,12,3.58,17.233333333333334,10.099999999999998
6.166666666666667,10,1.58,9.65,3.4833333333333334
29.266666666666666,20,17.02,32.233333333333334,2.9666666666666686
16.85,15,2.4,17.766666666666666,0.9166666666666643
6.8,14,0.9,6.1,0.7000000000000002
21.666666666666668,12,9.19,23.316666666666666,1.6499999999999986
27.833333333333332,13,1.3,10.2,17.633333333333333
3.2,17,0.81,6.066666666666666,2.8666666666666663
14.65,20,11.65,32.233333333333334,17.583333333333336
6.666666666666667,8,0.84,5.083333333333333,1.583333333333334
26.116666666666667,0,3.7,16.283333333333335,9.833333333333332
18.35,15,3.0,17.766666666666666,0.5833333333333357
6.133333333333334,12,0.74,5.883333333333334,0.25
4.483333333333333,21,0.59,5.45,0.9666666666666668
