duration_min,pred_eta_min,abs_err,hour,trip_distance
7.433333333333334,8.25907,0.8257370630900063,9,1.66
58.85,57.125393,1.724607086181642,15,19.04
79.38333333333334,35.877155,43.50617802937826,6,11.5
8.55,14.07797,5.527969551086425,20,2.35
28.216666666666665,25.944292,2.2723745981852197,11,6.99
14.166666666666666,12.5718975,1.5947691599527989,2,1.88
10.533333333333333,10.326471,0.20686200459798165,14,1.26
25.816666666666666,22.74244,3.074227396647135,15,3.2
14.516666666666667,8.13229,6.384376780192058,12,0.87
14.833333333333334,15.710309,0.8769756952921544,13,2.15
25.3,23.108002,2.1919982910156257,16,4.6
8.533333333333333,8.755319,0.22198530832926444,7,1.56
6.25,7.0772047,0.827204704284668,11,1.25
27.466666666666665,20.949282,6.517384974161782,20,5.79
8.4,7.588282,0.8117178916931156,17,0.68
20.1,17.742132,2.357867813110353,12,2.54
13.033333333333333,15.1772175,2.1438841501871746,13,2.06
21.083333333333332,18.418331,2.6650021870930978,13,2.3
17.666666666666668,21.820786,4.15411885579427,11,3.79
14.983333333333333,17.60386,2.6205275217692066,15,2.39
10.866666666666667,15.919919,5.053252347310384,15,2.22
45.68333333333333,54.438225,8.754891459147139,17,16.63
22.616666666666667,19.849958,2.7667082468668625,19,3.95
4.616666666666666,6.2159505,1.5992838223775232,19,0.59
20.033333333333335,20.480042,0.446708170572915,15,3.0
15.3,13.729876,1.5701244354248054,16,1.88
17.966666666666665,19.043129,1.0764623006184912,12,4.5
15.183333333333334,14.994802,0.18853085835774763,14,2.01
15.8,21.231178,5.4311782836914055,13,3.32
16.816666666666666,15.756478,1.0601883570353188,17,1.88
1.0,-0.5418468,1.5418468117713928,21,0.0
17.683333333333334,16.865128,0.8182057698567711,17,2.3
3.6166666666666667,5.267667,1.651000150044759,22,0.62
24.05,17.817318,6.232682037353516,14,2.5
6.083333333333333,7.5153446,1.4320112864176435,19,1.04
21.0,18.498812,2.501188278198242,16,3.1
45.86666666666667,39.544476,6.322191111246745,2,21.39
9.533333333333333,11.773525,2.240191904703776,10,1.61
24.7,19.803064,4.896935653686523,1,3.19
16.95,17.787395,0.8373954772949226,9,3.3
17.633333333333333,14.518746,3.114586957295735,10,2.12
5.533333333333333,6.3436317,0.8102984110514324,23,1.05
8.366666666666667,8.460972,0.09430516560872348,16,1.1
23.35,27.639065,4.289064788818358,0,6.34
16.9,21.54272,4.642720794677736,12,3.85
7.333333333333333,10.065506,2.7321726481119795,12,1.2
8.916666666666666,18.719036,9.802369435628256,14,2.7
22.816666666666666,22.214233,0.6024332682291664,16,3.23
4.166666666666667,4.79073,0.6240633328755694,0,0.46
21.55,16.927532,4.622467803955079,9,2.84
40.03333333333333,45.46739,5.43405481974284,12,18.37
4.816666666666666,8.816367,3.999700482686361,4,1.38
16.133333333333333,22.240622,6.107288233439128,18,3.51
4.116666666666666,8.472436,4.355769284566244,16,0.94
16.433333333333334,25.414001,8.980668131510416,1,4.93
15.666666666666666,16.658455,0.9917882283528652,13,2.37
12.433333333333334,8.097175,4.336158688863119,10,0.9
7.533333333333333,3.258649,4.274684222539266,12,0.14
10.5,11.391277,0.8912773132324219,19,1.73
6.966666666666667,8.708512,1.7418456395467121,14,0.9
30.683333333333334,26.76342,3.919913228352865,0,5.32
29.933333333333334,24.535902,5.397431310017904,0,4.26
13.933333333333334,14.612251,0.6789179484049477,17,2.33
11.483333333333333,13.779765,2.296431795756023,10,1.97
21.683333333333334,12.9185295,8.764803822835287,19,1.77
5.0,7.700185,2.7001848220825195,16,0.83
11.783333333333333,10.752681,1.0306525548299152,11,2.02
8.083333333333334,8.80121,0.7178770701090489,20,1.28
10.783333333333333,8.537312,2.246021779378255,11,1.0
14.733333333333333,19.574312,4.840978876749675,7,4.91
5.666666666666667,6.572271,0.9056042035420733,18,0.68
8.683333333333334,9.730526,1.0471926371256508,23,2.14
28.616666666666667,26.791641,1.8250254313151046,0,4.9
11.016666666666667,13.321288,2.304621442159016,14,1.7
34.06666666666667,38.23102,4.164355214436846,19,16.49
31.083333333333332,20.997162,10.086171468098957,1,3.7
10.933333333333334,12.136141,1.2028074900309242,17,1.55
5.75,7.7328978,1.9828977584838867,14,0.78
5.966666666666667,4.978048,0.988618818918864,7,1.28
13.633333333333333,12.852688,0.7806454976399735,15,1.56
17.45,24.057041,6.607041168212891,1,6.44
18.433333333333334,18.50891,0.07557589213053362,3,4.32
8.35,7.5365524,0.8134475708007809,5,1.97
2.783333333333333,3.9307199,1.1473865191141766,3,0.56
14.166666666666666,14.09363,0.07303682963053326,11,2.0
5.85,7.8043666,1.9543665885925297,8,1.72
15.25,11.429202,3.820797920227051,1,1.76
2.95,4.183301,1.233300971984863,19,0.38
33.75,35.039726,1.2897262573242188,18,16.1
26.45,33.00213,6.5521286010742195,12,20.1
34.95,34.937897,0.012103271484377842,14,9.55
13.916666666666666,16.806885,2.890218098958334,20,3.2
8.066666666666666,7.1327558,0.9339109102884926,11,0.79
9.0,8.7736025,0.22639751434326172,21,1.4
8.25,10.326471,2.0764713287353516,14,1.27
8.716666666666667,11.960465,3.243798764546712,16,1.3
3.45,3.3817437,0.06825633049011248,7,0.87
5.733333333333333,10.372604,4.639271036783854,11,1.27
12.366666666666667,15.980423,3.6137563069661454,12,2.27
22.75,15.607972,7.142027854919434,14,2.0
10.883333333333333,10.779282,0.10405171712239536,14,1.29
9.883333333333333,5.4449162,4.4384170850118,19,0.7
12.25,10.053145,2.196854591369629,13,1.62
6.45,9.733707,3.2837074279785154,20,1.3
12.65,12.021934,0.628066444396973,14,2.03
